name,type,phiVolume,encrypted,mfaEnabled,lastAssessedAt
Wellspring Claims Processor,Device Integration,35802,true,true,2026-03-11
Wellspring Imaging Viewer,Device Integration,259952,false,false,2026-05-11
Cascade Genomics Pipeline,Messaging System,394803,true,false,2026-09-12
Silverleaf Genomics Pipeline,Device Integration,8382,true,true,2026-08-23
Meridian Claims Processor,File Server,212922,false,true,2026-04-27
Brookhaven Analytics Hub,Patient Portal,1462,true,true,2026-09-23
Bluewater Scheduling Engine,Device Integration,289487,false,false,2026-09-24
Fairview Storage Vault,Billing System,228192,true,false,2026-05-27
Oakmont Mail Relay,Device Integration,34264,true,true,2026-09-13
Highland Clinical Notes Service,Imaging System,2456,true,true,2026-06-24
Cedarpoint Imaging Viewer,Messaging System,465442,true,true,2026-01-05
